ELEMENT ID	ELEMENT NAME	DESCRIPTION
4.C.3.a.1	Consecuencia del error	¿En general qué tan seria serían las consecuencias de un error cometido por el trabajador que no pudiera corregirse rápidamente?
4.C.3.a.2	Impacto de las decisiones	La frecuencia y naturaleza del impacto de las decisiones del trabajador en la organización.
4.C.3.a.2.a	Impacto de las decisiones en los compañeros de trabajo o en los resultados de la compañía	¿Cómo impactan las decisiones de un empleado el desempeño de sus compañeros de trabajo, clientes o de la compañía?
4.C.3.a.2.b	Frecuencia de la toma de decisiones	¿Con qué frecuencia se requiere que el trabajador tome decisiones que afectan a otras personas, a los recursos financieros, y/o a la imagen y reputación de la organización?
4.C.3.a.4	Libertad para tomar decisiones	¿Cuánta libertad para tomar decisiones sin supervisión ofrece este trabajo?
4.C.3.b	Rutina en oposición a los retos del trabajo	La cantidad de tiempo que el trabajador dedicará a trabajo rutinario comparado con la cantidad de tiempo que dedicará a trabajo que representa un desafío.
4.C.3.b.2	Grado de automatización	¿Qué tan automatizado es el trabajo?
4.C.3.b.4	Importancia de ser exacto o preciso	¿Qué tan importante es ser muy exacto o muy preciso para realizar este trabajo?
4.C.3.b.7	Importancia de repetir las mismas labores	¿Qué tan importante es repetir las mismas actividades físicas (e.g. ingreso de datos) o actividades mentales (e.g. verificar las entradas del libro de contabilidad) una y otra vez sin parar, al realizar este trabajo?
4.C.3.b.8	Trabajo con estructura frente a otro sin estructura	¿Hasta qué punto este trabajo ya está estructurado para el trabajador, en lugar de permitirle determinar labores, prioridades y metas?
4.C.3.c	Competencia	Grado de competencia que el trabajador enfrentará como parte de este trabajo.
4.C.3.c.1	Nivel de competencia	¿Hasta qué punto este trabajo requiere que el trabajador compita o sea consciente de las presiones competitivas que existen?
4.C.3.d	Ritmo y planeación	Descripción del papel que desempeña el tiempo en la manera en que el trabajador realiza las labores requeridas por este trabajo.
4.C.3.d.1	Presión del tiempo	¿Con qué frecuencia este trabajo requiere que el trabajador cumpla con fechas límites para el cumplimiento de deberes?
4.C.3.d.3	Ritmo determinado por la rapidez del equipo	¿Qué tan importante es  la rapidez del equipo o maquinaria para determinar el ritmo de trabajo? (Esto no se refiere a estar ocupado todo el tiempo en este trabajo.)
4.C.3.d.4	Horarios de trabajo	¿Qué tan regulares son los horarios de trabajo?
4.C.3.d.8	Duración de una semana típica de trabajo	Número de horas que se trabajan típicamente en una semana.
5.	Información específica de la profesión	Información específica de la profesión.
5.A	Labores	Labores específicas de la profesión.
5.A.1 (1 to X)	Lista de labores	Lista de labores para cada profesión.
6	Características del mercado laboral	Características del mercado laboral.
6.A	Información del mercado laboral	Información del mercado laboral.
6.B	Perspectiva profesional	Perspectiva profesional.
